[45][PRUNE] Pm=16.036% | fc1.w 624450/3920000 (15.93%) | fc1.b 5000/5000 (100.00%) | fc2.w 7973/50000 (15.95%) | fc2.b 10/10 (100.00%) | val_loss: 0.16041731274724005 | val_acc: 0.9546
[46][PRUNE] Pm=15.400% | fc1.w 599472/3920000 (15.29%) | fc1.b 5000/5000 (100.00%) | fc2.w 7655/50000 (15.31%) | fc2.b 10/10 (100.00%) | val_loss: 0.16246405338048936 | val_acc: 0.9543
[47][PRUNE] Pm=14.789% | fc1.w 575494/3920000 (14.68%) | fc1.b 5000/5000 (100.00%) | fc2.w 7349/50000 (14.70%) | fc2.b 10/10 (100.00%) | val_loss: 0.16463794773221016 | val_acc: 0.9531
[48][PRUNE] Pm=14.202% | fc1.w 552475/3920000 (14.09%) | fc1.b 5000/5000 (100.00%) | fc2.w 7056/50000 (14.11%) | fc2.b 10/10 (100.00%) | val_loss: 0.16653243728280068 | val_acc: 0.953
[49][PRUNE] Pm=13.639% | fc1.w 530376/3920000 (13.53%) | fc1.b 5000/5000 (100.00%) | fc2.w 6774/50000 (13.55%) | fc2.b 10/10 (100.00%) | val_loss: 0.16929795280694962 | val_acc: 0.9525
[50][PRUNE] Pm=13.099% | fc1.w 509161/3920000 (12.99%) | fc1.b 5000/5000 (100.00%) | fc2.w 6504/50000 (13.01%) | fc2.b 10/10 (100.00%) | val_loss: 0.17174894322156906 | val_acc: 0.9516
[51][PRUNE] Pm=12.580% | fc1.w 488795/3920000 (12.47%) | fc1.b 5000/5000 (100.00%) | fc2.w 6244/50000 (12.49%) | fc2.b 10/10 (100.00%) | val_loss: 0.17488951152563095 | val_acc: 0.9504
[52][PRUNE] Pm=12.082% | fc1.w 469244/3920000 (11.97%) | fc1.b 5000/5000 (100.00%) | fc2.w 5995/50000 (11.99%) | fc2.b 10/10 (100.00%) | val_loss: 0.17760300287604333 | val_acc: 0.9499
[53][PRUNE] Pm=11.604% | fc1.w 450475/3920000 (11.49%) | fc1.b 5000/5000 (100.00%) | fc2.w 5756/50000 (11.51%) | fc2.b 10/10 (100.00%) | val_loss: 0.18097504432797432 | val_acc: 0.9484
[54][PRUNE] Pm=11.144% | fc1.w 432456/3920000 (11.03%) | fc1.b 5000/5000 (100.00%) | fc2.w 5526/50000 (11.05%) | fc2.b 10/10 (100.00%) | val_loss: 0.1839134820461273 | val_acc: 0.9474
[55][PRUNE] Pm=10.704% | fc1.w 415158/3920000 (10.59%) | fc1.b 5000/5000 (100.00%) | fc2.w 5305/50000 (10.61%) | fc2.b 10/10 (100.00%) | val_loss: 0.18696787301898002 | val_acc: 0.9471
[56][PRUNE] Pm=10.281% | fc1.w 398552/3920000 (10.17%) | fc1.b 5000/5000 (100.00%) | fc2.w 5093/50000 (10.19%) | fc2.b 10/10 (100.00%) | val_loss: 0.19036632944345475 | val_acc: 0.9461
[57][PRUNE] Pm=9.874% | fc1.w 382610/3920000 (9.76%) | fc1.b 5000/5000 (100.00%) | fc2.w 4890/50000 (9.78%) | fc2.b 10/10 (100.00%) | val_loss: 0.1937037536919117 | val_acc: 0.9454
